Year,Code,Name,Recreation Visits,"Visitor
Spending",Jobs Supported,Labor Income ,Value Added,"Economic
Output"
2024,ACAD,Acadia National Park,"3,961,661","$538,906","5,304","$243,133","$459,921","$744,545"
2024,ARCH,Arches National Park,"1,466,528","$287,785","2,502","$94,522","$183,289","$312,122"
2024,BADL,Badlands National Park,"1,094,245","$143,206","1,410","$58,901","$111,301","$191,413"
2024,BIBE,Big Bend National Park,"561,458","$56,817",585,"$17,269","$34,443","$63,707"
2024,BISC,Biscayne National Park,"512,213","$39,679",362,"$19,190","$34,520","$55,023"
2024,BLCA,Black Canyon Of The Gunnison National Park,"335,862","$25,238",209,"$10,258","$19,050","$30,348"
2024,BRCA,Bryce Canyon National Park,"2,498,075","$244,884","2,334","$69,263","$139,948","$270,134"
2024,CANY,Canyonlands National Park,"818,492","$116,288","1,011","$38,241","$74,267","$125,599"
2024,CARE,Capitol Reef National Park,"1,422,490","$127,194","1,237","$36,060","$74,847","$141,624"
2024,CAVE,Carlsbad Caverns National Park,"460,474","$35,714",335,"$11,964","$22,305","$38,538"
2024,CHIS,Channel Islands National Park,"262,581","$17,742",161,"$9,228","$15,833","$24,863"
2024,CONG,Congaree National Park,"242,049","$14,609",134,"$5,229","$10,373","$17,586"
2024,CRLA,Crater Lake National Park,"504,942","$53,516",564,"$25,152","$43,405","$74,295"
2024,CUVA,Cuyahoga Valley National Park,"2,912,454","$143,920","1,598","$71,532","$126,137","$213,710"
2024,DEVA,Death Valley National Park,"1,440,484","$146,167","1,343","$66,664","$119,573","$191,059"
2024,DENA,Denali National Park & Preserve,"466,227","$611,952","5,659","$297,298","$539,589","$879,690"
2024,DRTO,Dry Tortugas National Park (formerly Fort Jefferson National Monument),"84,873","$6,250",49,"$2,346","$4,333","$6,824"
2024,EVER,Everglades National Park,"741,983","$114,601","1,126","$62,589","$111,133","$175,943"
2024,GAAR,Gates of the Arctic National Park & Preserve,"11,907","$23,177",217,"$11,270","$20,368","$33,207"
2024,JEFF,Gateway Arch National Park (formerly Jefferson National Expansion Memorial),"2,563,052","$184,599","2,157","$104,231","$179,764","$300,650"
2024,GLBA,Glacier Bay National Park & Preserve,"736,282","$333,265","3,088","$166,755","$302,943","$521,384"
2024,GLAC,Glacier National Park,"3,208,755","$457,955","5,188","$217,176","$359,081","$656,188"
2024,GOSP,Golden Spike National Park (Historic Site),"55,285","$3,780",39,"$1,690","$3,127","$5,294"
2024,GRCA,Grand Canyon National Park,"4,919,163","$905,346","8,778","$393,248","$697,736","$1,143,263"
2024,GRTE,Grand Teton National Park,"3,628,222","$807,563","6,861","$329,149","$593,456","$983,519"
2024,GRBA,Great Basin National Park,"152,068","$16,742",146,"$7,607","$14,022","$22,709"
2024,GRSA,Great Sand Dunes National Park & Preserve,"437,661","$29,547",261,"$8,525","$17,025","$30,898"
2024,GRSM,Great Smoky Mountains National Park,"12,191,834","$2,041,287","20,349","$1,015,336","$1,779,662","$2,857,978"
2024,GUMO,Guadalupe Mountains National Park,"226,134","$28,092",245,"$9,687","$18,483","$32,339"
2024,HALE,Haleakalā National Park,"732,477","$56,001",439,"$23,729","$46,922","$70,168"
2024,HAVO,Hawai'i Volcanoes National Park,"1,433,593","$445,429","3,605","$187,562","$379,589","$570,869"
2024,HOSP,Hot Springs National Park,"2,461,812","$189,775","2,125","$72,527","$141,290","$253,410"
2024,INDU,Indiana Dunes National Park (National Lakeshore),"2,705,209","$142,760","1,228","$67,877","$124,668","$192,936"
2024,ISRO,Isle Royale National Park,"28,806","$11,950",95,"$3,759","$7,242","$14,175"
2024,JOTR,Joshua Tree National Park,"2,991,874","$179,292","1,633","$73,560","$130,440","$214,109"
2024,KATM,Katmai National Park & Preserve,"36,230","$70,525",659,"$34,294","$61,978","$101,043"
2024,KEFJ,Kenai Fjords National Park,"419,468","$92,753","1,187","$49,649","$77,447","$131,149"
2024,KOVA,Kobuk Valley National Park,"17,233","$33,545",314,"$16,312","$29,480","$48,061"
2024,LACL,Lake Clark National Park & Preserve,"18,505","$36,022",337,"$17,516","$31,656","$51,610"
2024,LAVO,Lassen Volcanic National Park,"357,651","$34,895",320,"$13,748","$23,996","$40,687"
2024,MACA,Mammoth Cave National Park,"747,042","$73,238",883,"$31,099","$53,157","$97,26"
2024,MEVE,Mesa Verde National Park,"480,065","$60,171",572,"$22,253","$43,001","$73,506"
2024,MORA,Mount Rainier National Park,"1,620,006","$72,212",522,"$30,785","$61,567","$90,953"
2024,NOCA,North Cascades National Park,"16,485",$950,6,$378,$759,"$1,096"
2024,OLYM,Olympic National Park,"3,717,267","$380,177","2,881","$176,052","$352,978","$515,816"
2024,PEFO,Petrified Forest National Park,"559,254","$43,357",396,"$15,975","$28,992","$48,958"
2024,PINN,Pinnacles National Park,"354,076","$25,256",159,"$11,425","$19,313","$27,783"
2024,ROMO,Rocky Mountain National Park,"4,154,349","$587,882","5,421","$303,569","$541,630","$861,831"
2024,SAGU,Saguaro National Park,"946,369","$73,327",736,"$37,026","$66,612","$108,195"
2024,SEKI,Sequoia & Kings Canyon National Parks,"2,008,962","192,502","1,835","79,020","137,860","230,928"
2024,SHEN,Shenandoah National Park,"1,720,211","$132,363","1,184","$61,895","$112,779","$175,083"
2024,THRO,Theodore Roosevelt National Park,"732,951","$55,795",558,"$19,040","$34,640","$62,557"
2024,VIIS,Virgin Islands National Park,"423,029","$75,989",657,"$34,203","$68,985","$105,838"
2024,VOYA,Voyageurs National Park,"199,030","$19,645",193,"$8,062","$14,182","$24,088"
2024,WHSA,White Sands National Park (formerly White Sands National Monument),"702,236","$62,354",625,"$23,511","$43,926","$79,704"
2024,WICA,Wind Cave National Park,"489,399","$48,637",481,"$19,213","$37,451","$63,464"
2024,WRST,Wrangell - St. Elias National Park & Preserve,"81,670","$158,974","1,486","$77,303","$139,707","$227,766"
2024,YELL,Yellowstone National Park,"4,744,353","$709,686","6,563","$322,325","$544,337","$903,058"
2024,YOSE,Yosemite National Park,"4,121,807","$628,956","6,107","$270,610","$476,262","$795,492"
2024,ZION,Zion National Park,"4,946,592","$774,194","8,564","$282,472","$556,282","$1,048,947"
2023,ACAD,Acadia National Park,"3,879,890","$475,175","6,603","$229,830","$390,600","$685,376"
2023,ARCH,Arches National Park,"1,482,045","$282,826","3,654","$115,764","$194,441","$345,830"
2023,BADL,Badlands National Park,"1,046,400","$134,579","1,916","$62,407","$107,624","$193,285"
2023,BIBE,Big Bend National Park,"509,129","$48,513",657,"$18,723","$29,810","$56,205"
2023,BISC,Biscayne National Park,"571,242","$42,063",540,"$21,267","$35,950","$61,171"
2023,BLCA,Black Canyon Of The Gunnison National Park,"357,069","$25,557",295,"$11,051","$18,492","$31,901"
2023,BRCA,Bryce Canyon National Park,"2,461,269","$231,942","3,190","$73,488","$125,354","$249,380"
2023,CANY,Canyonlands National Park,"800,322","$106,090","1,373","$42,757","$72,406","$129,549"
2023,CARE,Capitol Reef National Park,"1,268,861","$110,571","1,526","$33,710","$65,043","$127,124"
2023,CAVE,Carlsbad Caverns National Park,"394,121","$29,087",359,"$10,044","$17,246","$31,869"
2023,CHIS,Channel Islands National Park,"328,746","$22,588",266,"$13,111","$20,685","$33,094"
2023,CONG,Congaree National Park,"250,114","$14,881",173,"$5,713","$10,182","$17,955"
2023,CRLA,Crater Lake National Park,"559,976","$55,235",780,"$29,848","$45,883","$80,551"
2023,CUVA,Cuyahoga Valley National Park,"2,860,059","$138,684","2,136","$83,701","$130,956","$224,751"
2023,DEVA,Death Valley National Park,"1,099,632","$103,270","1,203","$50,595","$85,582","$137,280"
2023,DENA,Denali National Park & Preserve,"498,722","$559,409","7,785","$306,273","$491,620","$840,346"
2023,DRTO,Dry Tortugas National Park (formerly Fort Jefferson National Monument),"84,285","$5,885",62,"$2,364","$4,010","$6,671"
2023,EVER,Everglades National Park,"810,189","$120,646","1,749","$72,267","$120,342","$198,231"
