Year,Code,Name,Recreation Visits,"Visitor
Spending ($)",Jobs Supported,Labor Income ($),Value Added ($),"Economic
Output ($)"
2024,ACAD,Acadia National Park,3961661.00,538906.00,5304.00,243133.00,459921.00,744545.00
2024,ARCH,Arches National Park,1466528.00,287785.00,2502.00,459921.00,183289.00,312122.00
2024,BADL,Badlands National Park,1094245.00,143206.00,1410.00,58901.00,111301.00,191413.00
2024,BIBE,Big Bend National Park,561458.00,56817.00,585.00,17269.00,34443.00,63707.00
2024,BISC,Biscayne National Park,512213.00,39679.00,362.00,19190.00,34520.00,55023.00
2024,BLCA,Black Canyon Of The Gunnison National Park,335862.00,25238.00,209.00,10258.00,19050.00,30348.00
2024,BRCA,Bryce Canyon National Park,2498075.00,244884.00,2334.00,69263.00,139948.00,270134.00
2024,CANY,Canyonlands National Park,818492.00,116288.00,1011.00,38241.00,74267.00,125599.00
2024,CARE,Capitol Reef National Park,1422490.00,127194.00,1237.00,36060.00,74847.00,141624.00
2024,CAVE,Carlsbad Caverns National Park,460474.00,35714.00,335.00,11964.00,22305.00,38538.00
2024,CHIS,Channel Islands National Park,262581.00,17742.00,161.00,9228.00,15833.00,24863.00
2024,CONG,Congaree National Park,242049.00,14609.00,134.00,5229.00,10373.00,17586.00
2024,CRLA,Crater Lake National Park,504942.00,53516.00,564.00,25152.00,43405.00,74295.00
2024,CUVA,Cuyahoga Valley National Park,2912454.00,143920.00,1598.00,71532.00,126137.00,213710.00
2024,DEVA,Death Valley National Park,1440484.00,146167.00,1343.00,66664.00,119573.00,191059.00
2024,DENA,Denali National Park & Preserve,466227.00,611952.00,5659.00,297298.00,539589.00,879690.00
2024,DRTO,Dry Tortugas National Park (formerly Fort Jefferson National Monument),84873.00,6250.00,49.00,2346.00,4333.00,6824.00
2024,EVER,Everglades National Park,741983.00,114601.00,1126.00,62589.00,111133.00,175943.00
2024,GAAR,Gates of the Arctic National Park & Preserve,11907.00,23177.00,217.00,11270.00,20368.00,33207.00
2024,JEFF,Gateway Arch National Park (formerly Jefferson National Expansion Memorial),2563052.00,184599.00,2157.00,104231.00,179764.00,300650.00
2024,GLBA,Glacier Bay National Park & Preserve,736282.00,333265.00,3088.00,166755.00,302943.00,521384.00
2024,GLAC,Glacier National Park,3208755.00,457955.00,5188.00,217176.00,359081.00,656188.00
2024,GOSP,Golden Spike National Park (Historic Site),55285.00,3780.00,39.00,1690.00,3127.00,5294.00
2024,GRCA,Grand Canyon National Park,4919163.00,905346.00,8778.00,393248.00,697736.00,1143263.00
2024,GRTE,Grand Teton National Park,3628222.00,807563.00,6861.00,329149.00,593456.00,983519.00
2024,GRBA,Great Basin National Park,152068.00,16742.00,146.00,7607.00,14022.00,22709.00
2024,GRSA,Great Sand Dunes National Park & Preserve,437661.00,29547.00,261.00,8525.00,17025.00,30898.00
2024,GRSM,Great Smoky Mountains National Park,12191834.00,2041287.00,20349.00,1015336.00,1779662.00,2857978.00
2024,GUMO,Guadalupe Mountains National Park,226134.00,28092.00,245.00,9687.00,18483.00,32339.00
2024,HALE,Haleakalā National Park,732477.00,56001.00,439.00,23729.00,46922.00,70168.00
2024,HAVO,Hawai'i Volcanoes National Park,1433593.00,445429.00,3605.00,187562.00,379589.00,570869.00
2024,HOSP,Hot Springs National Park,2461812.00,189775.00,2125.00,72527.00,141290.00,253410.00
2024,INDU,Indiana Dunes National Park (National Lakeshore),2705209.00,142760.00,1228.00,67877.00,124668.00,192936.00
2024,ISRO,Isle Royale National Park,28806.00,11950.00,95.00,3759.00,7242.00,14175.00
2024,JOTR,Joshua Tree National Park,2991874.00,179292.00,1633.00,73560.00,130440.00,214109.00
2024,KATM,Katmai National Park & Preserve,36230.00,70525.00,659.00,34294.00,61978.00,101043.00
2024,KEFJ,Kenai Fjords National Park,419468.00,92753.00,1187.00,49649.00,77447.00,131149.00
2024,KOVA,Kobuk Valley National Park,17233.00,33545.00,314.00,16312.00,29480.00,48061.00
2024,LACL,Lake Clark National Park & Preserve,18505.00,36022.00,337.00,17516.00,31656.00,51610.00
2024,LAVO,Lassen Volcanic National Park,357651.00,34895.00,320.00,13748.00,23996.00,40687.00
2024,MACA,Mammoth Cave National Park,747042.00,73238.00,883.00,31099.00,53157.00,9726.00
2024,MEVE,Mesa Verde National Park,480065.00,60171.00,572.00,22253.00,43001.00,73506.00
2024,MORA,Mount Rainier National Park,1620006.00,72212.00,522.00,30785.00,61567.00,90953.00
2024,NOCA,North Cascades National Park,16485.00,950.00,6.00,378.00,759.00,1096.00
2024,OLYM,Olympic National Park,3717267.00,380177.00,2881.00,176052.00,352978.00,515816.00
2024,PEFO,Petrified Forest National Park,559254.00,43357.00,396.00,15975.00,28992.00,48958.00
2024,PINN,Pinnacles National Park,354076.00,25256.00,159.00,11425.00,19313.00,27783.00
2024,ROMO,Rocky Mountain National Park,4154349.00,587882.00,5421.00,303569.00,541630.00,861831.00
2024,SAGU,Saguaro National Park,946369.00,73327.00,736.00,37026.00,66612.00,108195.00
2024,SEKI,Sequoia & Kings Canyon National Parks,2008962.00,192502.00,1835.00,79020.00,137860.00,230928.00
2024,SHEN,Shenandoah National Park,1720211.00,132363.00,1184.00,61895.00,112779.00,175083.00
2024,THRO,Theodore Roosevelt National Park,732951.00,55795.00,558.00,19040.00,34640.00,62557.00
2024,VIIS,Virgin Islands National Park,423029.00,75989.00,657.00,34203.00,68985.00,105838.00
2024,VOYA,Voyageurs National Park,199030.00,19645.00,193.00,8062.00,14182.00,24088.00
2024,WHSA,White Sands National Park (formerly White Sands National Monument),702236.00,62354.00,625.00,23511.00,43926.00,79704.00
2024,WICA,Wind Cave National Park,489399.00,48637.00,481.00,19213.00,37451.00,63464.00
2024,WRST,Wrangell - St. Elias National Park & Preserve,81670.00,158974.00,1486.00,77303.00,139707.00,227766.00
2024,YELL,Yellowstone National Park,4744353.00,709686.00,6563.00,322325.00,544337.00,903058.00
2024,YOSE,Yosemite National Park,4121807.00,628956.00,6107.00,270610.00,476262.00,795492.00
2024,ZION,Zion National Park,4946592.00,774194.00,8564.00,282472.00,556282.00,1048947.00
2023,ACAD,Acadia National Park,3879890.00,475175.00,6603.00,229830.00,390600.00,685376.00
2023,ARCH,Arches National Park,1482045.00,282826.00,3654.00,115764.00,194441.00,345830.00
2023,BADL,Badlands National Park,1046400.00,134579.00,1916.00,62407.00,107624.00,193285.00
2023,BIBE,Big Bend National Park,509129.00,48513.00,657.00,18723.00,29810.00,56205.00
2023,BISC,Biscayne National Park,571242.00,42063.00,540.00,21267.00,35950.00,61171.00
2023,BLCA,Black Canyon Of The Gunnison National Park,357069.00,25557.00,295.00,11051.00,18492.00,31901.00
2023,BRCA,Bryce Canyon National Park,2461269.00,231942.00,3190.00,73488.00,125354.00,249380.00
2023,CANY,Canyonlands National Park,800322.00,106090.00,1373.00,42757.00,72406.00,129549.00
2023,CARE,Capitol Reef National Park,1268861.00,110571.00,1526.00,33710.00,65043.00,127124.00
2023,CAVE,Carlsbad Caverns National Park,394121.00,29087.00,359.00,10044.00,17246.00,31869.00
2023,CHIS,Channel Islands National Park,328746.00,22588.00,266.00,13111.00,20685.00,33094.00
2023,CONG,Congaree National Park,250114.00,14881.00,173.00,5713.00,10182.00,17955.00
2023,CRLA,Crater Lake National Park,559976.00,55235.00,780.00,29848.00,45883.00,80551.00
2023,CUVA,Cuyahoga Valley National Park,2860059.00,138684.00,2136.00,83701.00,130956.00,224751.00
2023,DEVA,Death Valley National Park,1099632.00,103270.00,1203.00,50595.00,85582.00,137280.00
2023,DENA,Denali National Park & Preserve,498722.00,559409.00,7785.00,306273.00,491620.00,840346.00
2023,DRTO,Dry Tortugas National Park (formerly Fort Jefferson National Monument),84285.00,5885.00,62.00,2364.00,4010.00,6671.00
2023,EVER,Everglades National Park,810189.00,120646.00,1749.00,72267.00,120342.00,198231.00
2023,GAAR,Gates of the Arctic National Park & Preserve,11045.00,18471.00,258.00,10102.00,16124.00,27642.00
2023,JEFF,Gateway Arch National Park (formerly Jefferson National Expansion Memorial),2422836.00,170178.00,2687.00,108417.00,173054.00,297769.00
2023,GLBA,Glacier Bay National Park & Preserve,703659.00,291717.00,3644.00,163824.00,254593.00,498492.00
2023,GLAC,Glacier National Park,2933616.00,372129.00,5725.00,186811.00,287572.00,554585.00
2023,GOSP,Golden Spike National Park (Historic Site),53015.00,3474.00,47.00,1614.00,2761.00,4971.00
2023,GRCA,Grand Canyon National Park,4733705.00,768411.00,10060.00,350177.00,582513.00,1022191.00
2023,GRTE,Grand Teton National Park,3417106.00,737983.00,9369.00,330747.00,541797.00,936251.00
2023,GRBA,Great Basin National Park,143265.00,15416.00,180.00,7692.00,13217.00,21765.00
2023,GRSA,Great Sand Dunes National Park & Preserve,512219.00,34284.00,427.00,11236.00,19655.00,37941.00
2023,GRSM,Great Smoky Mountains National Park,13297647.00,2198538.00,33748.00,1267581.00,2000786.00,3397905.00
2023,GUMO,Guadalupe Mountains National Park,227340.00,27545.00,325.00,11180.00,18633.00,32680.00
2023,HALE,Haleakalā National Park,791292.00,57541.00,556.00,25589.00,47193.00,72127.00
2023,HAVO,Hawai'i Volcanoes National Park,1620294.00,154595.00,1586.00,71769.00,133618.00,203117.00
2023,HOSP,Hot Springs National Park,2502967.00,184190.00,2591.00,72481.00,131576.00,247690.00
2023,INDU,Indiana Dunes National Park (National Lakeshore),2765892.00,139824.00,1655.00,79238.00,126206.00,206254.00
2023,ISRO,Isle Royale National Park,28965.00,12069.00,140.00,3863.00,6780.00,14821.00
2023,JOTR,Joshua Tree National Park,3270404.00,185818.00,2202.00,83720.00,135427.00,227384.00
2023,KATM,Katmai National Park & Preserve,33763.00,56471.00,788.00,30883.00,49295.00,84506.00
2023,KEFJ,Kenai Fjords National Park,387525.00,77071.00,1322.00,47815.00,64799.00,117498.00
2023,KOVA,Kobuk Valley National Park,17616.00,29464.00,411.00,16113.00,25720.00,44092.00
2023,LACL,Lake Clark National Park & Preserve,16728.00,27981.00,390.00,15302.00,24425.00,41872.00
2023,LAVO,Lassen Volcanic National Park,418978.00,40318.00,507.00,19427.00,30619.00,51059.00
2023,MACA,Mammoth Cave National Park,654450.00,62024.00,822.00,32873.00,52870.00,89560.00
2023,MEVE,Mesa Verde National Park,505194.00,59482.00,776.00,23184.00,40985.00,75637.00
2023,MORA,Mount Rainier National Park,1674294.00,70722.00,718.00,33767.00,59221.00,92211.00
2023,NOCA,North Cascades National Park,40351.00,2514.00,24.00,1186.00,2055.00,3114.00
2023,OLYM,Olympic National Park,2947503.00,279236.00,2990.00,143365.00,255285.00,393205.00
2023,PEFO,Petrified Forest National Park,520491.00,38396.00,451.00,14635.00,24671.00,43956.00
2023,PINN,Pinnacles National Park,341220.00,23860.00,204.00,12552.00,19056.00,27541.00
2023,ROMO,Rocky Mountain National Park,4115837.00,568527.00,7833.00,341870.00,551120.00,888656.00
2023,SAGU,Saguaro National Park,1010906.00,74523.00,982.00,38786.00,65606.00,112857.00
2023,SEKI,Sequoia & Kings Canyon National Parks,1623632.00,145570.00,1786.00,67189.00,108030.00,182892.00
2023,SHEN,Shenandoah National Park,1576008.00,114436.00,1351.00,60838.00,99409.00,159697.00
2023,THRO,Theodore Roosevelt National Park,746862.00,54223.00,645.00,19396.00,32967.00,60054.00
2023,VIIS,Virgin Islands National Park,343685.00,55201.00,617.00,27007.00,51208.00,77716.00
2023,VOYA,Voyageurs National Park,220825.00,20356.00,279.00,8028.00,13756.00,25640.00
2023,WHSA,White Sands National Park (formerly White Sands National Monument),729096.00,44451.00,595.00,16928.00,27341.00,53386.00
2023,WICA,Wind Cave National Park,592459.00,52011.00,727.00,22867.00,40501.00,74016.00
2023,WRST,Wrangell - St. Elias National Park & Preserve,78305.00,130973.00,1827.00,71628.00,114330.00,195996.00
2023,YELL,Yellowstone National Park,4501382.00,623274.00,8561.00,290663.00,451782.00,828347.00
2023,YOSE,Yosemite National Park,3897070.00,526566.00,6664.00,257591.00,421894.00,724563.00
2023,ZION,Zion National Park,4623238.00,676040.00,10782.00,279218.00,495371.00,967289.00
2022,ACAD,Acadia National Park,3970260.00,478821.00,6695.00,231941.00,394168.00,690712.00
2022,ARCH,Arches National Park,1460652.00,274172.00,3558.00,112310.00,188653.00,335174.00
2022,BADL,Badlands National Park,1006809.00,73746.00,991.00,29025.00,50916.00,95334.00
2022,BIBE,Big Bend National Park,514107.00,48061.00,655.00,18559.00,29560.00,55676.00
2022,BISC,Biscayne National Park,701023.00,50949.00,659.00,25797.00,43606.00,74118.00
2022,BLCA,Black Canyon Of The Gunnison National Park,297257.00,20930.00,243.00,9059.00,15154.00,26108.00
2022,BRCA,Bryce Canyon National Park,2354660.00,218608.00,3019.00,69296.00,118191.00,234954.00
2022,CANY,Canyonlands National Park,779147.00,101464.00,1319.00,40896.00,69246.00,123758.00
2022,CARE,Capitol Reef National Park,1227608.00,105561.00,1462.00,32199.00,62120.00,121297.00
2022,CAVE,Carlsbad Caverns National Park,390932.00,28452.00,353.00,9838.00,16890.00,31166.00
2022,CHIS,Channel Islands National Park,323245.00,21775.00,258.00,12639.00,19935.00,31853.00
2022,CONG,Congaree National Park,204522.00,11831.00,138.00,4534.00,8073.00,14224.00
2022,CRLA,Crater Lake National Park,527259.00,51208.00,728.00,27714.00,42626.00,74757.00
2022,CUVA,Cuyahoga Valley National Park,2913312.00,55996.00,778.00,30380.00,48069.00,86244.00
2022,DEVA,Death Valley National Park,1128862.00,104819.00,1228.00,51435.00,86947.00,139299.00
2022,DENA,Denali National Park & Preserve,427562.00,474887.00,6641.00,260213.00,417656.00,713505.00
2022,DRTO,Dry Tortugas National Park (formerly Fort Jefferson National Monument),78488.00,5403.00,58.00,2173.00,3686.00,6123.00
2022,EVER,Everglades National Park,1155193.00,124649.00,1730.00,66665.00,114028.00,192518.00
2022,GAAR,Gates of the Arctic National Park & Preserve,9457.00,15611.00,219.00,8544.00,13634.00,23361.00
2022,JEFF,Gateway Arch National Park (formerly Jefferson National Expansion Memorial),1618774.00,112076.00,1781.00,71532.00,114178.00,196236.00
2022,GLBA,Glacier Bay National Park & Preserve,545758.00,223677.00,2824.00,126214.00,196012.00,382678.00
2022,GLAC,Glacier National Park,2908458.00,367589.00,5691.00,184793.00,284541.00,548417.00
2022,GOSP,Golden Spike National Park (Historic Site),49042.00,3169.00,43.00,1475.00,2522.00,4536.00
2022,GRCA,Grand Canyon National Park,4732101.00,758899.00,9991.00,346332.00,576355.00,1010477.00
2022,GRTE,Grand Teton National Park,2806223.00,597470.00,7608.00,267468.00,438271.00,757041.00
2022,GRBA,Great Basin National Park,142115.00,9151.00,122.00,2644.00,4847.00,9668.00
2022,GRSA,Great Sand Dunes National Park & Preserve,493428.00,32538.00,408.00,10668.00,18659.00,35980.00
2022,GRSM,Great Smoky Mountains National Park,12937633.00,2110462.00,32590.00,1218335.00,1922997.00,3262390.00
2022,GUMO,Guadalupe Mountains National Park,219987.00,26288.00,311.00,10671.00,17784.00,31165.00
2022,HALE,Haleakalā National Park,1087616.00,78419.00,764.00,34951.00,64475.00,98412.00
2022,HAVO,Hawai'i Volcanoes National Park,1580961.00,148615.00,1534.00,69074.00,128524.00,195158.00
2022,HOSP,Hot Springs National Park,2646133.00,191724.00,2713.00,75533.00,137087.00,257732.00
2022,INDU,Indiana Dunes National Park (National Lakeshore),2834180.00,141327.00,1685.00,80203.00,127743.00,208509.00
2022,ISRO,Isle Royale National Park,25454.00,10368.00,120.00,3314.00,5809.00,12738.00
