,Park Name,State,Recreation Visitors,Non-Recreation Visitors,Recreation Visitor Hours,Non-Recreation Hours,Concession Lodging,Tent Campers,RV Campers,Concession Camping,Backcountry Campers,Misc Campers,Non-Recreation Overnight Stays,Total Overnight Stays,Join Code,Year,Code,Name,Recreation Visits,"Visitor
Spending",Jobs Supported,Labor Income ,Value Added,"Economic
Output"
0,Acadia National Park,ME ,2811184,47100,14452151,47100,0,135000,32094,0,1233,8343,0,176670.0,ACAD2015,2015,ACAD,Acadia National Park,"2,811,184","$247,910.80","3,878","$102,112.70","$172,526.10","$304,623.50"
1,Acadia National Park,ME ,3303393,47100,22698596,47100,0,152811,46629,977,1324,8563,0,210304.0,ACAD2016,2016,ACAD,Acadia National Park,"3,303,394","$274,208.80","4,195","$111,087.10","$188,275.10","$332,786.30"
2,Acadia National Park,ME ,3509271,47100,24014370,47100,0,152586,55812,1657,1597,10889,0,222541.0,ACAD2017,2017,ACAD,Acadia National Park,"3,509,271","$284,459.80","4,163","$107,621.50","$185,248.30","$338,873.80"
3,Acadia National Park,ME ,3537575,47100,23613754,47100,0,144744,58215,1364,1472,11698,0,217493.0,ACAD2018,2018,ACAD,Acadia National Park,"3,537,575","$387,654","5,602","$171,668","$304,982","$521,454"
4,Acadia National Park,ME ,3437286,47100,23195664,47100,0,140985,57696,1090,1284,11674,0,212729.0,ACAD2019,2019,ACAD,Acadia National Park,"3,437,286","$379,517","5,474","$168,284","$298,961","$510,962"
5,Acadia National Park,ME ,2669034,47100,14264234,47100,0,0,0,307,0,0,0,307.0,ACAD2020,2020,ACAD,Acadia National Park,"2,669,034","$303,734","4,368","$134,853","$240,528","$411,030"
6,Acadia National Park,ME ,4069098,47100,26042074,47100,0,107758,40672,1607,1612,0,0,151649.0,ACAD2021,2021,ACAD,Acadia National Park,"4,069,098","$486,056","6,841","$236,009","$401,158","$702,038"
7,Acadia National Park,ME ,3970260,47100,26678263,47100,0,136183,49647,1884,1472,9490,0,198676.0,ACAD2022,2022,ACAD,Acadia National Park,"3,970,260","$478,821","6,695","$231,941","$394,168","$690,712"
8,Acadia National Park,ME ,3879890,47100,25804425,47100,0,120615,49074,1603,1570,9600,0,182462.0,ACAD2023,2023,ACAD,Acadia National Park,"3,879,890","$475,175","6,603","$229,830","$390,600","$685,376"
9,Acadia National Park,ME ,3961661,47100,26948748,47100,0,142739,52950,1667,1175,10208,0,208739.0,ACAD2024,2024,ACAD,Acadia National Park,"3,961,661","$538,906","5,304","$243,133","$459,921","$744,545"
10,Arches National Park,UT,1399247,0,5420170,0,0,27158,16565,0,1208,6005,0,50933.0,ARCH2015,2015,ARCH,Arches National Park,"1,399,247","$162,718.20","2,711","$67,949.50","$122,729.00","$216,319.60"
11,Arches National Park,UT,1585718,0,6049250,0,0,28046,18658,0,1174,5959,0,53836.0,ARCH2016,2016,ARCH,Arches National Park,"1,585,719","$188,802.50","3,120","$78,699.10","$142,124.60","$251,620.40"
12,Arches National Park,UT,1539028,0,4672677,0,0,1426,826,0,65,0,0,2316.0,ARCH2017,2017,ARCH,Arches National Park,"1,539,028","$182,505.50","2,869","$75,990.70","$132,261.20","$241,343.90"
13,Arches National Park,UT,1663557,0,5906859,0,0,17938,16157,0,368,3711,0,38175.0,ARCH2018,2018,ARCH,Arches National Park,"1,663,556","$200,337","3,079","$81,408","$144,434","$262,845"
