,Park Name,Park Code,State,Year,Recreation Visitors,Non-Recreation Visitors,Recreation Visitor Hours,Non-Recreation Hours,Concession Lodging,Tent Campers,RV Campers,Concession Camping,Backcountry Campers,Misc Campers,Non-Recreation Overnight Stays,Total Overnight Stays,Join Code,Region,Division,Park Name Only,"Visitor
Spending",Jobs Supported,Labor Income ,Value Added,"Economic
Output",Name,Date established as park[7][12],Area (2021)[13],LAT,LONG
0,Acadia National Park,ACAD,ME,2015,2811184,47100,14452151,47100,0,135000,32094,0,1233,8343,0,176670.0,ACAD2015,Northeast,New England,Acadia,"$247,910.80","3,878","$102,112.70","$172,526.10","$304,623.50",Acadia,26-Feb-19,"49,071.40 acres (198.6 km2)",44.35,-68.21
1,Acadia National Park,ACAD,ME,2016,3303393,47100,22698596,47100,0,152811,46629,977,1324,8563,0,210304.0,ACAD2016,Northeast,New England,Acadia,"$274,208.80","4,195","$111,087.10","$188,275.10","$332,786.30",Acadia,26-Feb-19,"49,071.40 acres (198.6 km2)",44.35,-68.21
2,Acadia National Park,ACAD,ME,2017,3509271,47100,24014370,47100,0,152586,55812,1657,1597,10889,0,222541.0,ACAD2017,Northeast,New England,Acadia,"$284,459.80","4,163","$107,621.50","$185,248.30","$338,873.80",Acadia,26-Feb-19,"49,071.40 acres (198.6 km2)",44.35,-68.21
3,Acadia National Park,ACAD,ME,2018,3537575,47100,23613754,47100,0,144744,58215,1364,1472,11698,0,217493.0,ACAD2018,Northeast,New England,Acadia,"$387,654","5,602","$171,668","$304,982","$521,454",Acadia,26-Feb-19,"49,071.40 acres (198.6 km2)",44.35,-68.21
4,Acadia National Park,ACAD,ME,2019,3437286,47100,23195664,47100,0,140985,57696,1090,1284,11674,0,212729.0,ACAD2019,Northeast,New England,Acadia,"$379,517","5,474","$168,284","$298,961","$510,962",Acadia,26-Feb-19,"49,071.40 acres (198.6 km2)",44.35,-68.21
5,Acadia National Park,ACAD,ME,2020,2669034,47100,14264234,47100,0,0,0,307,0,0,0,307.0,ACAD2020,Northeast,New England,Acadia,"$303,734","4,368","$134,853","$240,528","$411,030",Acadia,26-Feb-19,"49,071.40 acres (198.6 km2)",44.35,-68.21
6,Acadia National Park,ACAD,ME,2021,4069098,47100,26042074,47100,0,107758,40672,1607,1612,0,0,151649.0,ACAD2021,Northeast,New England,Acadia,"$486,056","6,841","$236,009","$401,158","$702,038",Acadia,26-Feb-19,"49,071.40 acres (198.6 km2)",44.35,-68.21
7,Acadia National Park,ACAD,ME,2022,3970260,47100,26678263,47100,0,136183,49647,1884,1472,9490,0,198676.0,ACAD2022,Northeast,New England,Acadia,"$478,821","6,695","$231,941","$394,168","$690,712",Acadia,26-Feb-19,"49,071.40 acres (198.6 km2)",44.35,-68.21
8,Acadia National Park,ACAD,ME,2023,3879890,47100,25804425,47100,0,120615,49074,1603,1570,9600,0,182462.0,ACAD2023,Northeast,New England,Acadia,"$475,175","6,603","$229,830","$390,600","$685,376",Acadia,26-Feb-19,"49,071.40 acres (198.6 km2)",44.35,-68.21
9,Acadia National Park,ACAD,ME,2024,3961661,47100,26948748,47100,0,142739,52950,1667,1175,10208,0,208739.0,ACAD2024,Northeast,New England,Acadia,"$538,906","5,304","$243,133","$459,921","$744,545",Acadia,26-Feb-19,"49,071.40 acres (198.6 km2)",44.35,-68.21
10,Arches National Park,ARCH,UT,2015,1399247,0,5420170,0,0,27158,16565,0,1208,6005,0,50933.0,ARCH2015,West,Mountain,Arches,"$162,718.20","2,711","$67,949.50","$122,729.00","$216,319.60",Arches,12-Nov-71,"76,678.98 acres (310.3 km2)",38.68,-109.57
11,Arches National Park,ARCH,UT,2016,1585718,0,6049250,0,0,28046,18658,0,1174,5959,0,53836.0,ARCH2016,West,Mountain,Arches,"$188,802.50","3,120","$78,699.10","$142,124.60","$251,620.40",Arches,12-Nov-71,"76,678.98 acres (310.3 km2)",38.68,-109.57
12,Arches National Park,ARCH,UT,2017,1539028,0,4672677,0,0,1426,826,0,65,0,0,2316.0,ARCH2017,West,Mountain,Arches,"$182,505.50","2,869","$75,990.70","$132,261.20","$241,343.90",Arches,12-Nov-71,"76,678.98 acres (310.3 km2)",38.68,-109.57
13,Arches National Park,ARCH,UT,2018,1663557,0,5906859,0,0,17938,16157,0,368,3711,0,38175.0,ARCH2018,West,Mountain,Arches,"$200,337","3,079","$81,408","$144,434","$262,845",Arches,12-Nov-71,"76,678.98 acres (310.3 km2)",38.68,-109.57
14,Arches National Park,ARCH,UT,2019,1659702,0,5912819,0,0,17523,16290,0,405,4688,0,38905.0,ARCH2019,West,Mountain,Arches,"$201,299","3,089","$81,926","$145,353","$264,383",Arches,12-Nov-71,"76,678.98 acres (310.3 km2)",38.68,-109.57
15,Arches National Park,ARCH,UT,2020,1238083,0,4288859,0,0,10382,10621,0,34,2904,0,23942.0,ARCH2020,West,Mountain,Arches,"$151,684","2,323","$61,839","$109,729","$199,487",Arches,12-Nov-71,"76,678.98 acres (310.3 km2)",38.68,-109.57
16,Arches National Park,ARCH,UT,2021,1806865,0,6272244,0,0,13746,15294,0,312,6132,0,35486.0,ARCH2021,West,Mountain,Arches,"$236,999","3,229","$94,614","$160,803","$294,344",Arches,12-Nov-71,"76,678.98 acres (310.3 km2)",38.68,-109.57
17,Arches National Park,ARCH,UT,2022,1460652,0,5413594,0,0,14913,20216,0,272,7585,0,42985.0,ARCH2022,West,Mountain,Arches,"$274,172","3,558","$112,310","$188,653","$335,174",Arches,12-Nov-71,"76,678.98 acres (310.3 km2)",38.68,-109.57
18,Arches National Park,ARCH,UT,2023,1482045,0,5462987,0,0,14885,19602,0,175,7708,0,42370.0,ARCH2023,West,Mountain,Arches,"$282,826","3,654","$115,764","$194,441","$345,830",Arches,12-Nov-71,"76,678.98 acres (310.3 km2)",38.68,-109.57
