,Park Name,Park Code,State,Year,Month,Recreation Visitors,Non-Recreation Visitors,Recreation Visitor Hours,Non-Recreation Hours,Concession Lodging,Tent Campers,RV Campers,Concession Camping,Backcountry Campers,Misc Campers,Non-Recreation Overnight Stays,Total Overnight Stays,Month_Num,Date,Join Code,Region,Division,Park Name Only,Name,Date established as park[7][12],Area (2021)[13],LAT,LONG
0,Crater Lake National Park,CRLA,OR,2015,January,10489,2100,39953,1050,0,0,0,0,162,0,0,162.0,1,2015-01-01,CRLA2015,West,Pacific,Crater Lake,Crater Lake,22-May-02,"183,224.05 acres (741.5 km2)",42.94,-122.1
1,Crater Lake National Park,CRLA,OR,2015,February,8635,2400,33682,1200,0,0,0,0,173,0,0,173.0,2,2015-02-01,CRLA2015,West,Pacific,Crater Lake,Crater Lake,22-May-02,"183,224.05 acres (741.5 km2)",42.94,-122.1
2,Crater Lake National Park,CRLA,OR,2015,March,13938,2800,54242,1400,0,0,0,0,273,0,0,273.0,3,2015-03-01,CRLA2015,West,Pacific,Crater Lake,Crater Lake,22-May-02,"183,224.05 acres (741.5 km2)",42.94,-122.1
3,Crater Lake National Park,CRLA,OR,2015,April,16918,4800,63625,2400,62,0,0,0,171,0,0,233.0,4,2015-04-01,CRLA2015,West,Pacific,Crater Lake,Crater Lake,22-May-02,"183,224.05 acres (741.5 km2)",42.94,-122.1
4,Crater Lake National Park,CRLA,OR,2015,May,48217,4900,274731,2450,3457,0,0,2309,224,0,0,5990.0,5,2015-05-01,CRLA2015,West,Pacific,Crater Lake,Crater Lake,22-May-02,"183,224.05 acres (741.5 km2)",42.94,-122.1
5,Crater Lake National Park,CRLA,OR,2015,June,84679,6100,655525,3050,7373,1420,0,10348,291,0,0,19432.0,6,2015-06-01,CRLA2015,West,Pacific,Crater Lake,Crater Lake,22-May-02,"183,224.05 acres (741.5 km2)",42.94,-122.1
6,Crater Lake National Park,CRLA,OR,2015,July,147623,6500,1021114,3250,7804,1078,0,17211,690,0,0,26782.0,7,2015-07-01,CRLA2015,West,Pacific,Crater Lake,Crater Lake,22-May-02,"183,224.05 acres (741.5 km2)",42.94,-122.1
7,Crater Lake National Park,CRLA,OR,2015,August,97673,3900,849516,1950,7830,2400,0,16167,552,0,0,26949.0,8,2015-08-01,CRLA2015,West,Pacific,Crater Lake,Crater Lake,22-May-02,"183,224.05 acres (741.5 km2)",42.94,-122.1
8,Crater Lake National Park,CRLA,OR,2015,September,128398,4800,786179,2400,6478,1835,0,9561,261,0,0,18135.0,9,2015-09-01,CRLA2015,West,Pacific,Crater Lake,Crater Lake,22-May-02,"183,224.05 acres (741.5 km2)",42.94,-122.1
9,Crater Lake National Park,CRLA,OR,2015,October,42803,3300,195929,1650,1625,815,0,0,191,0,0,2631.0,10,2015-10-01,CRLA2015,West,Pacific,Crater Lake,Crater Lake,22-May-02,"183,224.05 acres (741.5 km2)",42.94,-122.1
10,Crater Lake National Park,CRLA,OR,2015,November,12769,3700,49251,1850,0,0,0,0,228,0,0,228.0,11,2015-11-01,CRLA2015,West,Pacific,Crater Lake,Crater Lake,22-May-02,"183,224.05 acres (741.5 km2)",42.94,-122.1
11,Crater Lake National Park,CRLA,OR,2015,December,2570,4300,9737,2150,0,0,0,0,37,0,0,37.0,12,2015-12-01,CRLA2015,West,Pacific,Crater Lake,Crater Lake,22-May-02,"183,224.05 acres (741.5 km2)",42.94,-122.1
12,Crater Lake National Park,CRLA,OR,2016,January,3112,2100,13472,1050,0,0,0,0,129,0,0,129.0,1,2016-01-01,CRLA2016,West,Pacific,Crater Lake,Crater Lake,22-May-02,"183,224.05 acres (741.5 km2)",42.94,-122.1
13,Crater Lake National Park,CRLA,OR,2016,February,7170,2400,30595,1200,0,0,0,0,275,0,0,275.0,2,2016-02-01,CRLA2016,West,Pacific,Crater Lake,Crater Lake,22-May-02,"183,224.05 acres (741.5 km2)",42.94,-122.1
14,Crater Lake National Park,CRLA,OR,2016,March,8961,2800,37724,1400,0,0,0,0,318,0,0,318.0,3,2016-03-01,CRLA2016,West,Pacific,Crater Lake,Crater Lake,22-May-02,"183,224.05 acres (741.5 km2)",42.94,-122.1
15,Crater Lake National Park,CRLA,OR,2016,April,20389,4800,76082,2400,0,0,0,0,236,0,0,236.0,4,2016-04-01,CRLA2016,West,Pacific,Crater Lake,Crater Lake,22-May-02,"183,224.05 acres (741.5 km2)",42.94,-122.1
16,Crater Lake National Park,CRLA,OR,2016,May,40627,4900,178674,2450,2065,0,0,0,172,0,0,2237.0,5,2016-05-01,CRLA2016,West,Pacific,Crater Lake,Crater Lake,22-May-02,"183,224.05 acres (741.5 km2)",42.94,-122.1
17,Crater Lake National Park,CRLA,OR,2016,June,122905,6100,687915,3050,7678,0,0,6479,266,0,0,14423.0,6,2016-06-01,CRLA2016,West,Pacific,Crater Lake,Crater Lake,22-May-02,"183,224.05 acres (741.5 km2)",42.94,-122.1
18,Crater Lake National Park,CRLA,OR,2016,July,190231,6500,1170959,3250,8062,1300,0,16409,1099,0,0,26870.0,7,2016-07-01,CRLA2016,West,Pacific,Crater Lake,Crater Lake,22-May-02,"183,224.05 acres (741.5 km2)",42.94,-122.1
19,Crater Lake National Park,CRLA,OR,2016,August,176895,3900,1129165,1950,7922,2250,0,15812,1102,0,0,27086.0,8,2016-08-01,CRLA2016,West,Pacific,Crater Lake,Crater Lake,22-May-02,"183,224.05 acres (741.5 km2)",42.94,-122.1
20,Crater Lake National Park,CRLA,OR,2016,September,131760,4800,849996,2400,6866,2070,0,11151,728,0,0,20815.0,9,2016-09-01,CRLA2016,West,Pacific,Crater Lake,Crater Lake,22-May-02,"183,224.05 acres (741.5 km2)",42.94,-122.1
21,Crater Lake National Park,CRLA,OR,2016,October,38985,3300,221555,1650,3278,660,0,910,63,0,0,4911.0,10,2016-10-01,CRLA2016,West,Pacific,Crater Lake,Crater Lake,22-May-02,"183,224.05 acres (741.5 km2)",42.94,-122.1
22,Crater Lake National Park,CRLA,OR,2016,November,10325,3700,38577,1850,0,0,0,0,122,0,0,122.0,11,2016-11-01,CRLA2016,West,Pacific,Crater Lake,Crater Lake,22-May-02,"183,224.05 acres (741.5 km2)",42.94,-122.1
23,Crater Lake National Park,CRLA,OR,2016,December,4984,4300,21364,2150,0,0,0,0,196,0,0,196.0,12,2016-12-01,CRLA2016,West,Pacific,Crater Lake,Crater Lake,22-May-02,"183,224.05 acres (741.5 km2)",42.94,-122.1
24,Crater Lake National Park,CRLA,OR,2017,January,1935,2100,9014,1050,0,0,0,0,112,0,0,112.0,1,2017-01-01,CRLA2017,West,Pacific,Crater Lake,Crater Lake,22-May-02,"183,224.05 acres (741.5 km2)",42.94,-122.1
