Park Name,Park Code,State,Year,Month,Recreation Visitors,Non-Recreation Visitors,Recreation Visitor Hours,Non-Recreation Hours,Concession Lodging,Tent Campers,RV Campers,Concession Camping,Backcountry Campers,Misc Campers,Non-Recreation Overnight Stays,Total Overnight Stays
Crater Lake National Park,CRLA,OR,2015,January,10489,2100,39953,1050,0,0,0,0,162,0,0,162
Crater Lake National Park,CRLA,OR,2015,February,8635,2400,33682,1200,0,0,0,0,173,0,0,173
Crater Lake National Park,CRLA,OR,2015,March,13938,2800,54242,1400,0,0,0,0,273,0,0,273
Crater Lake National Park,CRLA,OR,2015,April,16918,4800,63625,2400,62,0,0,0,171,0,0,233
Crater Lake National Park,CRLA,OR,2015,May,48217,4900,274731,2450,3457,0,0,2309,224,0,0,5990
Crater Lake National Park,CRLA,OR,2015,June,84679,6100,655525,3050,7373,1420,0,10348,291,0,0,19432
Crater Lake National Park,CRLA,OR,2015,July,147623,6500,1021114,3250,7804,1078,0,17211,690,0,0,26782
Crater Lake National Park,CRLA,OR,2015,August,97673,3900,849516,1950,7830,2400,0,16167,552,0,0,26949
Crater Lake National Park,CRLA,OR,2015,September,128398,4800,786179,2400,6478,1835,0,9561,261,0,0,18135
Crater Lake National Park,CRLA,OR,2015,October,42803,3300,195929,1650,1625,815,0,0,191,0,0,2631
Crater Lake National Park,CRLA,OR,2015,November,12769,3700,49251,1850,0,0,0,0,228,0,0,228
Crater Lake National Park,CRLA,OR,2015,December,2570,4300,9737,2150,0,0,0,0,37,0,0,37
Crater Lake National Park,CRLA,OR,2016,January,3112,2100,13472,1050,0,0,0,0,129,0,0,129
Crater Lake National Park,CRLA,OR,2016,February,7170,2400,30595,1200,0,0,0,0,275,0,0,275
Crater Lake National Park,CRLA,OR,2016,March,8961,2800,37724,1400,0,0,0,0,318,0,0,318
Crater Lake National Park,CRLA,OR,2016,April,20389,4800,76082,2400,0,0,0,0,236,0,0,236
Crater Lake National Park,CRLA,OR,2016,May,40627,4900,178674,2450,2065,0,0,0,172,0,0,2237
Crater Lake National Park,CRLA,OR,2016,June,122905,6100,687915,3050,7678,0,0,6479,266,0,0,14423
Crater Lake National Park,CRLA,OR,2016,July,190231,6500,1170959,3250,8062,1300,0,16409,1099,0,0,26870
Crater Lake National Park,CRLA,OR,2016,August,176895,3900,1129165,1950,7922,2250,0,15812,1102,0,0,27086
Crater Lake National Park,CRLA,OR,2016,September,131760,4800,849996,2400,6866,2070,0,11151,728,0,0,20815
Crater Lake National Park,CRLA,OR,2016,October,38985,3300,221555,1650,3278,660,0,910,63,0,0,4911
Crater Lake National Park,CRLA,OR,2016,November,10325,3700,38577,1850,0,0,0,0,122,0,0,122
Crater Lake National Park,CRLA,OR,2016,December,4984,4300,21364,2150,0,0,0,0,196,0,0,196
Crater Lake National Park,CRLA,OR,2017,January,1935,2100,9014,1050,0,0,0,0,112,0,0,112
Crater Lake National Park,CRLA,OR,2017,February,1402,2400,8106,1200,0,0,0,0,160,0,0,160
Crater Lake National Park,CRLA,OR,2017,March,8716,2800,37045,1400,0,0,0,0,327,0,0,327
Crater Lake National Park,CRLA,OR,2017,April,15043,4800,58332,2400,0,0,0,0,284,0,0,284
Crater Lake National Park,CRLA,OR,2017,May,38145,4900,172627,2450,2215,0,0,0,184,0,0,2399
Crater Lake National Park,CRLA,OR,2017,June,136567,6100,639212,3050,7038,0,0,2210,221,0,0,9469
Crater Lake National Park,CRLA,OR,2017,July,208237,6500,1192082,3250,7679,582,0,15716,721,0,0,24698
Crater Lake National Park,CRLA,OR,2017,August,157429,3900,988500,1950,7013,2072,0,13792,400,0,0,23278
Crater Lake National Park,CRLA,OR,2017,September,84340,4800,497900,2400,4750,1588,0,4615,133,0,0,11086
Crater Lake National Park,CRLA,OR,2017,October,41231,3300,178506,1650,1971,75,0,0,58,0,0,2104
Crater Lake National Park,CRLA,OR,2017,November,9687,3700,34666,1850,0,0,0,0,38,0,0,38
Crater Lake National Park,CRLA,OR,2017,December,9017,4300,35819,2150,0,0,0,0,213,0,0,213
Crater Lake National Park,CRLA,OR,2018,January,9220,2100,35209,1050,0,0,0,0,147,0,0,147
Crater Lake National Park,CRLA,OR,2018,February,8000,2400,31881,1200,0,0,0,0,194,0,0,194
Crater Lake National Park,CRLA,OR,2018,March,11143,2800,45861,1400,0,0,0,0,343,0,0,343
Crater Lake National Park,CRLA,OR,2018,April,19790,4800,73386,2400,0,0,0,0,206,0,0,206
Crater Lake National Park,CRLA,OR,2018,May,52298,4900,229860,2450,2551,0,0,145,155,0,0,2851
Crater Lake National Park,CRLA,OR,2018,June,110842,6100,639914,3050,7468,0,0,6327,297,0,0,14092
Crater Lake National Park,CRLA,OR,2018,July,179570,6500,1116978,3250,7734,2725,0,15104,408,0,0,25971
Crater Lake National Park,CRLA,OR,2018,August,134628,3900,879672,1950,7059,2052,0,12399,325,0,0,21836
Crater Lake National Park,CRLA,OR,2018,September,110911,4800,719155,2400,7831,1962,0,8064,257,0,0,18114
Crater Lake National Park,CRLA,OR,2018,October,58308,3300,238862,1650,2004,0,0,0,136,0,0,2140
Crater Lake National Park,CRLA,OR,2018,November,21309,3700,75702,1850,0,0,0,0,56,0,0,56
Crater Lake National Park,CRLA,OR,2018,December,4640,4300,17440,2150,0,0,0,0,60,0,0,60
Crater Lake National Park,CRLA,OR,2019,January,3120,2100,12920,1050,0,0,0,0,100,0,0,100
Crater Lake National Park,CRLA,OR,2019,February,2436,2400,9927,1200,0,0,0,0,70,0,0,70
Crater Lake National Park,CRLA,OR,2019,March,4800,2800,22080,1400,0,0,0,0,264,0,0,264
Crater Lake National Park,CRLA,OR,2019,April,15898,4800,59422,2400,0,0,0,0,189,0,0,189
Crater Lake National Park,CRLA,OR,2019,May,44808,4900,173020,2450,852,0,0,0,128,0,0,980
Crater Lake National Park,CRLA,OR,2019,June,103442,6100,522672,3050,8514,0,0,1090,130,0,0,9734
Crater Lake National Park,CRLA,OR,2019,July,201191,6500,906149,3250,7435,1330,0,2349,472,0,0,11586
Crater Lake National Park,CRLA,OR,2019,August,163472,3900,830283,1950,7225,1678,0,4854,595,0,0,14352
Crater Lake National Park,CRLA,OR,2019,September,98266,4800,583916,2400,7936,1178,0,4185,288,0,0,13586
Crater Lake National Park,CRLA,OR,2019,October,41635,3300,199777,1650,2654,508,0,0,72,0,0,3234
Crater Lake National Park,CRLA,OR,2019,November,16843,3700,60071,1850,0,0,0,0,56,0,0,56
Crater Lake National Park,CRLA,OR,2019,December,8601,4300,31545,2150,0,0,0,0,72,0,0,72
Crater Lake National Park,CRLA,OR,2020,January,3492,2100,13181,1050,0,0,0,0,48,0,0,48
Crater Lake National Park,CRLA,OR,2020,February,3351,2400,14650,1200,0,0,0,0,146,0,0,146
