Name,Location,Date established as park[7][12],Area (2021)[13],Recreation visitors (2021)[11]
Acadia,Maine44∞21'N 68∞13'W/44.35∞N 68.21∞W,26-Feb-19,"49,071.40 acres (198.6†km2)",4069098
Arches,Utah38∞41'N 109∞34'W/38.68∞N 109.57∞W,12-Nov-71,"76,678.98 acres (310.3†km2)",1806865
Badlands,South Dakota43∞45'N 102∞30'W/43.75∞N 102.50∞W,10-Nov-78,"242,755.94 acres (982.4†km2)",1224226
Big Bend,Texas29∞15'N 103∞15'W/29.25∞N 103.25∞W,12-Jun-44,"801,163.21 acres (3,242.2†km2)",581220
Biscayne,Florida25∞39'N 80∞05'W/25.65∞N 80.08∞W,28-Jun-80,"172,971.11 acres (700.0†km2)",705655
Black Canyon of the Gunnison,Colorado38∞34'N 107∞43'W/38.57∞N 107.72∞W,21-Oct-99,"30,779.83 acres (124.6†km2)",308910
Bryce Canyon,Utah37∞34'N 112∞11'W/37.57∞N 112.18∞W,25-Feb-28,"35,835.08 acres (145.0†km2)",2104600
Canyonlands,Utah38∞12'N 109∞56'W/38.2∞N 109.93∞W,12-Sep-64,"337,597.83 acres (1,366.2†km2)",911594
Capitol Reef,Utah38∞12'N 111∞10'W/38.20∞N 111.17∞W,18-Dec-71,"241,904.50 acres (979.0†km2)",1405353
Carlsbad Caverns *,New Mexico32∞10'N 104∞26'W/32.17∞N 104.44∞W,14-May-30,"46,766.45 acres (189.3†km2)",349244
Channel Islands,California34∞01'N 119∞25'W/34.01∞N 119.42∞W,5-Mar-80,"249,561.00 acres (1,009.9†km2)",319252
Congaree,South Carolina33∞47'N 80∞47'W/33.78∞N 80.78∞W,10-Nov-03,"26,692.60 acres (108.0†km2)",215181
Crater Lake,Oregon42∞56'N 122∞06'W/42.94∞N 122.1∞W,22-May-02,"183,224.05 acres (741.5†km2)",647751
Cuyahoga Valley,Ohio41∞14'N 81∞33'W/41.24∞N 81.55∞W,11-Oct-00,"32,571.88 acres (131.8†km2)",2575275
Death Valley,"California, Nevada36∞14'N 116∞49'W/36.24∞N 116.82∞W",31-Oct-94,"3,408,395.63 acres (13,793.3†km2)",1146551
Denali,Alaska63∞20'N 150∞30'W/63.33∞N 150.50∞W,26-Feb-17,"4,740,911.16 acres (19,185.8†km2)",229521
Dry Tortugas,Florida24∞38'N 82∞52'W/24.63∞N 82.87∞W,26-Oct-92,"64,701.22 acres (261.8†km2)",83817
Everglades,Florida25∞19'N 80∞56'W/25.32∞N 80.93∞W,30-May-34,"1,508,938.57 acres (6,106.5†km2)",942130
Gates of the Arctic,Alaska67∞47'N 153∞18'W/67.78∞N 153.30∞W,2-Dec-80,"7,523,897.45 acres (30,448.1†km2)",7362
Gateway Arch,Missouri38∞38'N 90∞11'W/38.63∞N 90.19∞W,"February 22, 2018[47]",91 acres (0.4†km2),1145081
Glacier,Montana48∞48'N 114∞00'W/48.80∞N 114.00∞W,11-May-10,"1,013,126.39 acres (4,100.0†km2)",3081656
Glacier Bay,Alaska58∞30'N 137∞00'W/58.50∞N 137.00∞W,2-Dec-80,"3,223,383.43 acres (13,044.6†km2)",89768
